 ,English stimulus,Mispronunciation stimulus,French translation
Cognates,banana,boonana,banane
,/bəˈnæ.nə/,/buˈnæ.nə/,/ba.nan/
 ,bowl,coal*,bol
,/boʊl/,/koʊl/,/bɔl/
 ,chocolate,chucklat,chocolat
,/ˈt͡ʃɔklət/,/ˈt͡ʃuklət/,/ʃɔ.kɔ.la/
 ,giraffe,viraffe,girafe
,/d͡ʒəˈɹæf/,/vəˈɹæf/,/ʒi.ʁaf/
 ,table,tebel,table
,/ˈteɪbəl/,/ˈtɛbəl/,/tabl/
 ,pizza,kitza,pizza
,/ˈpitsə/,/ˈkitsə/,/pi.dza/
Non-Cognates,butterfly,bitterfly,papillon
,/ˈbʌɾɚflaɪ/,/ˈbɪɾɚflaɪ/,/ˈpæpɪjɒ̃/
 ,cookie,khecky,biscuit
,/ˈkʊki/,/ˈkɛki/,/biskɥi/
 ,foot,soot*,pied
,[fʊʔ],[sʊʔ],/pje/
 ,monkey,vonkey,singe
,/ˈmʌŋki/,/ˈvʌŋki/,/sɛ̃ʒ/
,mouth,gouth,bouche
,/maʊθ/,/gaʊθ/,/buʃ/
 ,window,wendow,fenêtre
,/ˈwɪndoʊ/,/ˈwɛndoʊ/,/fnaɛ̯t/